provnum,Year,BEDCERT,RESTOT,overall_rating,survey_rating,quality_rating,staffing_rating,RN_staffing_rating,AIDHRD,VOCHRD,RNHRD,TOTLICHRD,TOTHRD,PTHRD,exp_aide,exp_lpn,exp_rn,exp_total,adj_aide,adj_lpn,adj_rn,adj_total,WEIGHTED_ALL_CYCLES_SCORE,incident_cnt,cmplnt_cnt,DeficiencyCount,short_stay_poor_quality,short_stay_good_quality,long_stay_poor_quality,long_stay_good_quality,measure_score_qtravg,OWNERSHIP_For profit,OWNERSHIP_Government,OWNERSHIP_Non profit,CERTIFICATION_Medicaid,CERTIFICATION_Medicare,CERTIFICATION_Medicare and Medicaid,Score_High,ZIPREGION_0,ZIPREGION_1,ZIPREGION_2,ZIPREGION_3,ZIPREGION_4,ZIPREGION_5,ZIPREGION_6,ZIPREGION_7,ZIPREGION_8,ZIPREGION_9
45245,2021,105,72.6,5,4,5,3,2,2.76644,1.00742,0.31054,1.31796,4.0844,0.06499,2.08389,0.61872,0.26669,2.9693,2.74061,1.20095,0.44968,4.38549,32.667,0,0,13,3,1,4,10,31.64199411,1,0,0,0,1,1,7,0,0,0,0,0,0,0,1,0,0
45246,2020,95,62.7,5,5,4,3,2,3.31988,1.05839,0.28218,1.34057,4.66044,0.00407,2.17164,0.62945,0.29908,3.10017,3.15597,1.2402,0.36436,4.79276,21.333,0,1,7,3,1,4,10,33.75202522,1,0,0,0,1,1,7,0,0,0,0,0,0,0,1,0,0
45246,2021,95,62.7,5,5,4,3,2,3.31988,1.05839,0.28218,1.34057,4.66044,0.00407,2.17164,0.62945,0.29908,3.10017,3.15597,1.2402,0.36436,4.79276,21.333,0,1,7,3,1,4,10,33.75202522,1,0,0,0,1,1,7,0,0,0,0,0,0,0,1,0,0
45247,2020,124,71.5,5,4,5,3,2,3.07872,1.26641,0.38555,1.65195,4.73067,0.00716,2.08649,0.65372,0.29682,3.03704,3.04617,1.42885,0.50161,4.9661,31.333,0,0,10,3,1,4,10,33.2974665,1,0,0,0,1,1,7,0,0,0,0,0,0,0,1,0,0
45247,2021,124,68,5,4,5,3,2,2.46758,1.17198,0.28473,1.4567,3.92428,0.00534,2.06391,0.63887,0.29253,2.99531,2.45866,1.35986,0.37141,4.16537,42,0,0,13,3,1,4,10,33.724678,1,0,0,0,1,1,7,0,0,0,0,0,0,0,1,0,0
45248,2020,84,69.3,5,5,5,4,3,2.3168,1.25216,0.35429,1.60646,3.92326,0.00706,1.88573,0.62206,0.25991,2.7677,2.53635,1.48469,0.52641,4.51929,24,1,0,9,3,1,4,10,30.29900822,1,0,0,0,1,1,7,0,0,0,0,0,0,0,1,0,0
45248,2021,84,69.3,5,5,5,4,3,2.3168,1.25216,0.35429,1.60646,3.92326,0.00706,1.88573,0.62206,0.25991,2.7677,2.53635,1.48469,0.52641,4.51929,24,1,0,9,3,1,4,10,30.29900822,1,0,0,0,1,1,7,0,0,0,0,0,0,0,1,0,0
45254,2020,120,91,5,3,5,4,3,2.64939,0.98872,0.37759,1.36631,4.0157,0.03066,1.84835,0.62237,0.275,2.74571,2.95912,1.17174,0.53026,4.66283,72.667,0,3,26,3,1,4,10,30.14131422,1,0,0,0,1,1,7,0,0,0,0,0,0,0,1,0,0
45254,2021,120,79.6,4,3,5,3,2,2.38734,1.09413,0.35203,1.44615,3.83349,0.04403,1.76872,0.61055,0.27261,2.65189,2.77571,1.32841,0.49274,4.59595,72.667,1,2,28,3,1,4,10,32.7941715,1,0,0,0,1,1,7,0,0,0,0,0,0,0,1,0,0
45256,2020,121,71.7,3,3,2,3,2,3.09147,1.03962,0.36548,1.4051,4.49657,0.0757,2.14475,0.67848,0.30525,3.12848,2.9757,1.13018,0.46237,4.58239,66,0,0,28,3,1,5,9,34.72286333,1,0,0,0,1,0,7,0,0,0,0,0,0,0,1,0,0
